org_id,ein,name,category,ntee_major,ntee_full,city,state
org_000177,42104937,Society For The Preservation Of New England Antiquities Inc,"Arts, Culture & Humanities",A,A54,Haverhill,MA
org_000178,208812402,Shen Yun Performing Arts Inc,"Arts, Culture & Humanities",A,A60,Cuddebackvlle,NY
org_000179,160470118,The Wende Museum Of The Cold War Inc,"Arts, Culture & Humanities",A,A50,Culver City,CA
org_000180,470832480,Omaha Performing Arts Society,"Arts, Culture & Humanities",A,A60,Omaha,NE
org_000181,50252708,Preservation Society Of Newport County,"Arts, Culture & Humanities",A,A800,Newport,RI
org_000182,590915177,Cox Science Center And Aquarium Inc,"Arts, Culture & Humanities",A,A570,West Palm Bch,FL
org_000183,923558059,Sjc Cultural Events Inc,"Arts, Culture & Humanities",A,A60,St Augustine,FL
org_000184,133453405,Tate Americas Foundation,"Arts, Culture & Humanities",A,A115,New York,NY
org_000185,132590805,The Studio Museum In Harlem,"Arts, Culture & Humanities",A,A500,New York,NY
org_000186,112517055,Museum Of Chinese In The America,"Arts, Culture & Humanities",A,A500,New York,NY
org_000187,840445087,Music Associates Of Aspen Inc,"Arts, Culture & Humanities",A,A6E0,Aspen,CO
org_000188,900900556,Medal Of Honor Museum Foundation,"Arts, Culture & Humanities",A,A50,Arlington,TX
org_000189,580566162,Atlanta Historical Society Inc,"Arts, Culture & Humanities",A,A800,Atlanta,GA
org_000190,516020908,Brandywine Conservancy & Museum Of Art,"Arts, Culture & Humanities",A,A500,Chadds Ford,PA
org_000191,464598642,Borealis Philanthropy,"Arts, Culture & Humanities",A,A99,Minneapolis,MN
org_000192,870361394,Sundance Institute,"Arts, Culture & Humanities",A,A310,Park City,UT
org_000193,113451703,Fractured Atlas Inc,"Arts, Culture & Humanities",A,A65,New York,NY
org_000194,592322926,Artis Naples Inc,"Arts, Culture & Humanities",A,A610,Naples,FL
org_000195,846038240,Denver Art Museum Inc,"Arts, Culture & Humanities",A,A510,Denver,CO
org_000196,592603081,Florida West Coast Symphony Inc,"Arts, Culture & Humanities",A,A690,Sarasota,FL
org_000197,570811297,Peace Center Foundation,"Arts, Culture & Humanities",A,A610,Greenville,SC
org_000198,237397946,Dia Center For The Arts Inc,"Arts, Culture & Humanities",A,A200,New York,NY
org_000199,923725031,Fayetteville Performing Arts Center At Trilith,"Arts, Culture & Humanities",A,A20,Fayetteville,GA
org_000200,520629696,Baltimore Symphony Orchestra Inc,"Arts, Culture & Humanities",A,A690,Baltimore,MD
org_000201,841420029,Hale Centre Theatre,"Arts, Culture & Humanities",A,A650,Sandy,UT
org_000202,750705442,Dallas Symphony Association Inc,"Arts, Culture & Humanities",A,A690,Dallas,TX
org_000203,133888641,Jazz At Lincoln Center Inc,"Arts, Culture & Humanities",A,A680,New York,NY
org_000204,330901351,Jserra Catholic High School,"Arts, Culture & Humanities",A,A20,San Juan Capistrano,CA
org_000205,161743588,Musical Instrument Museum,"Arts, Culture & Humanities",A,A50,Phoenix,AZ
org_000206,131882106,Ballet Theatre Foundation Inc,"Arts, Culture & Humanities",A,A63Z,New York,NY
org_000207,752084961,North Texas Public Broadcasting Inc,"Arts, Culture & Humanities",A,A300,Dallas,TX
org_000208,381385132,Detroit Symphony Orchestra Hall Inc,"Arts, Culture & Humanities",A,A690,Detroit,MI
org_000209,232434447,National Constitution Center,"Arts, Culture & Humanities",A,A540,Philadelphia,PA
org_000210,314389673,Ohio Historical Society,"Arts, Culture & Humanities",A,A800,Columbus,OH
org_000211,650200989,Robert Rauschenberg Foundation,"Arts, Culture & Humanities",A,A90,New York,NY
org_000212,362246703,Window To The World Communications Inc,"Arts, Culture & Humanities",A,A320,Chicago,IL
org_000213,41988530,Worcester Art Museum,"Arts, Culture & Humanities",A,A510,Worcester,MA
org_000214,237122882,Close Up Foundation,"Arts, Culture & Humanities",A,A30,Arlington,VA
org_000215,330556416,Uss Midway Museum,"Arts, Culture & Humanities",A,A500,San Diego,CA
org_000216,610444640,American Printing House For The Blind Inc,"Arts, Culture & Humanities",A,A330,Louisville,KY
